"","imdb_rating","id","season","title","views","ratingPerViews"
"1",7.4,10,1,"Homer's Night Out",50816,0.000145623425692695
"2",8.3,12,1,"Krusty Gets Busted",62561,0.000132670513578747
"3",8.2,14,2,"Bart Gets an ""F""",59575,0.000137641628199748
"4",8.1,17,2,"Two Cars in Every Garage and Three Eyes on Every Fish",64959,0.000124694037777675
"5",8,19,2,"Dead Putting Society",50691,0.00015781894221854
"6",8.4,21,2,"Bart the Daredevil",57605,0.000145820675288603
"7",7.8,23,2,"Bart Gets Hit by a Car",56486,0.000138087313670644
"8",8,26,2,"Homer vs. Lisa and the 8th Commandment",58277,0.000137275425982806
"9",8.2,28,2,"Oh Brother, Where Art Thou?",47426,0.000172900940412432
"10",7.6,30,2,"Old Money",44331,0.000171437594459859
"11",8.5,32,2,"Lisa's Substitute",52770,0.000161076369149138
"12",8,35,2,"Blood Feud",52829,0.000151431978648091
"13",7.7,37,3,"Mr. Lisa Goes to Washington",52098,0.000147798379976199
"14",8.7,39,3,"Bart the Murderer",64342,0.000135214945136925
"15",7.7,41,3,"Like Father, Like Clown",45586,0.000168911507919098
"16",7.9,44,3,"Saturdays of Thunder",55808,0.000141556766055046
"17",8.2,46,3,"Burns Verkaufen der Kraftwerk",55987,0.000146462571668423
"18",8.5,48,3,"Radio Bart",58919,0.000144265856514876
"19",8.3,51,3,"Bart the Lover",53123,0.000156241176138396
"20",8.2,53,3,"Separate Vocations",61508,0.000133315991415751
"21",7.9,55,3,"Colonel Homer",46901,0.000168439905332509
"22",7.8,58,3,"Bart's Friend Falls in Love",48058,0.000162303882808273
"23",8.4,60,4,"Kamp Krusty",67081,0.000125221746843368
"24",8.2,65,4,"Itchy & Scratchy: The Movie",55740,0.000147111589522784
"25",8.5,69,4,"Lisa's First Word",62070,0.000136942162075077
"26",8,72,4,"Selma's Choice",56396,0.000141854032200865
"27",7.9,7,1,"The Call of the Simpsons",57793,0.000136694755420207
"28",8.8,24,2,"One Fish, Two Fish, Blowfish, Blue Fish",50206,0.000175277855236426
"29",7.7,80,4,"Marge in Chains",68692,0.000112094567052932
"30",8.4,82,5,"Homer's Barbershop Quartet",58390,0.000143860250042816
"31",8.6,84,5,"Homer Goes to College",64802,0.000132711953334774
"32",8,87,5,"Marge on the Lam",53490,0.000149560665544962
"33",8.7,89,5,"Boy-Scoutz 'n the Hood",83238,0.000104519570388524
"34",8.2,92,5,"Homer the Vigilante",74673,0.000109812114151032
"35",8.1,93,5,"Bart Gets Famous",66267,0.000122232785549368
"36",8.2,95,5,"Lisa vs. Malibu Stacy",61715,0.00013286883253666
"37",7.9,98,5,"Bart Gets an Elephant",63427,0.000124552635313037
"38",7.5,102,5,"Lady Bouvier's Lover",59503,0.000126044065005126
"39",8.6,104,6,"Bart of Darkness",65126,0.000132051715136812
"40",8.5,107,6,"Itchy & Scratchy Land",72722,0.000116883474051869
"41",8.4,111,6,"Lisa on Ice",63564,0.000132150273739853
"42",7.8,114,6,"Fear of Flying",61569,0.000126687131510988
"43",8.5,116,6,"And Maggie Makes Three",63051,0.00013481150180013
"44",8.5,118,6,"Homie the Clown",73123,0.000116242495521245
"45",7.9,120,6,"Homer vs. Patty and Selma",60599,0.000130365187544349
"46",8.1,123,6,"Two Dozen and One Greyhounds",62323,0.000129968069573031
"47",8.3,125,6,"'Round Springfield",56001,0.000148211639077874
"48",8.6,127,6,"Lemon of Troy",70698,0.00012164417663866
"49",8.3,130,7,"Radioactive Man",62390,0.000133034140086552
"50",8.7,132,7,"Bart Sells His Soul",65333,0.000133163944714004
"51",8.5,134,7,"Treehouse of Horror VI",110342,7.70332239763644e-05
"52",8.3,139,7,"Marge Be Not Proud",68970,0.000120342177758446
"53",8.3,140,7,"Team Homer",72268,0.000114850279515138
"54",7.7,143,7,"Bart the Fink",71230,0.000108100519444054
"55",8.2,67,4,"New Kid on the Block",54557,0.000150301519511703
"56",8.8,149,7,"22 Short Films About Springfield",66536,0.000132259228087051
"57",8,151,7,"Much Apu About Nothing",75618,0.00010579491655426
"58",8.3,153,7,"Summer of 4 Ft. 2",65847,0.000126049782070558
"59",7.7,157,8,"Burns, Baby Burns",55497,0.000138746238535416
"60",7.8,160,8,"Lisa's Date with Density",60912,0.000128053585500394
"61",9,163,8,"The Springfield Files",69555,0.000129394004744447
"62",7.8,164,8,"The Twisted World of Marge Simpson",71813,0.000108615431746341
"63",7.9,167,8,"The Itchy & Scratchy & Poochie Show",58581,0.000134856011334733
"64",8.9,168,8,"Homer's Phobia",63355,0.000140478257438245
"65",8.7,171,8,"Homer vs. the Eighteenth Amendment",83561,0.000104115556300188
"66",7.7,173,8,"The Canine Mutiny",54155,0.000142184470501339
"67",8,175,8,"In Marge We Trust",59088,0.000135391280801516
"68",7.8,178,8,"The Secret War of Lisa Simpson",59196,0.000131765659841881
"69",7.4,180,9,"The Principal and the Pauper",48414,0.000152848349650927
"70",7.7,184,9,"Bart Star",31033,0.000248122965875036
"71",8,186,9,"Lisa the Skeptic",22318,0.000358455058697016
"72",5.1,189,9,"All Singing, All Dancing",15780,0.00032319391634981
"73",8.2,191,9,"The Joy of Sect",27710,0.000295922049801516
"74",7.8,196,9,"This Little Wiggy",20739,0.000376102994358455
"75",7.9,198,9,"The Trouble with Trillions",23426,0.000337232135234355
"76",8.5,200,9,"Trash of the Titans",26299,0.000323206205559147
"77",8.1,203,9,"Natural Born Kissers",53823,0.000150493283540494
"78",8.2,205,10,"The Wizard of Evergreen Terrace",53216,0.00015408899579074
"79",8,207,10,"Treehouse of Horror IX",83169,9.61896860609121e-05
"80",8.2,212,10,"Mayored to the Mob",56762,0.000144462844860999
"81",7.7,214,10,"Wild Barts Can't Be Broken",57693,0.000133465065085886
"82",7.5,219,10,"Make Room for Lisa",53449,0.000140320679526277
"83",7.6,222,10,"Mom and Pop Art",47851,0.000158826356815949
"84",7.2,224,10,"Monty Can't Buy Me Love",44242,0.000162741286560282
"85",7.9,226,10,"Thirty Minutes over Tokyo",55947,0.000141205069083239
"86",8.7,70,4,"Homer's Triple Bypass",57400,0.000151567944250871
"87",8.3,75,4,"Duffless",84874,9.77920211136508e-05
"88",7.2,77,4,"So It's Come to This: A Simpsons Clip Show",49139,0.000146523128268789
"89",8.5,91,5,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",82216,0.000103386202199085
"90",7.5,9,1,"Life on the Fast Lane",64776,0.000115783623564283
"91",7.8,11,1,"The Crepes of Wrath",60458,0.000129015184094743
"92",7.9,13,1,"Some Enchanted Evening",57590,0.000137176593158534
"93",8.3,15,2,"Simpson and Delilah",58553,0.000141751917066589
"94",8.2,16,2,"Treehouse of Horror",130282,6.29403908444758e-05
"95",7.5,18,2,"Dancin' Homer",49005,0.000153045607591062
"96",7.7,20,2,"Bart vs. Thanksgiving",47539,0.000161972275394939
"97",8.1,22,2,"Itchy & Scratchy & Marge",55413,0.0001461750852688
"98",8.2,25,2,"The Way We Was",51182,0.000160212574733305
"99",7.5,27,2,"Principal Charming",46823,0.000160177690451274
"100",7.5,29,2,"Bart's Dog Gets an ""F""",47780,0.000156969443281708
"101",7.9,33,2,"The War of the Simpsons",51997,0.000151931842221667
"102",8.2,1,1,"Simpsons Roasting on an Open Fire",171408,4.7839074022216e-05
"103",7.8,2,1,"Bart the Genius",91423,8.53176990472857e-05
"104",7.8,4,1,"There's No Disgrace Like Home",67378,0.000115764789693965
"105",7.6,6,1,"Moaning Lisa",55355,0.000137295637250474
"106",7.7,8,1,"The Telltale Head",66311,0.000116119497519265
"107",8.4,34,2,"Three Men and a Comic Book",50403,0.000166656746622225
"108",8.6,36,3,"Stark Raving Dad",55238,0.000155689923603317
"109",8.2,38,3,"When Flanders Failed",53499,0.000153273892969962
"110",8.5,40,3,"Homer Defined",50601,0.000167980869943282
"111",8.1,78,4,"The Front",53404,0.000151674031907722
"112",8.1,73,4,"Brother from the Same Planet",59040,0.000137195121951219
"113",8.7,86,5,"Treehouse of Horror IV",110251,7.89108488811893e-05
"114",9,71,4,"Marge vs. the Monorail",88171,0.000102074378196913
"115",8.3,74,4,"I Love Lisa",62309,0.000133207080839044
"116",8.4,90,5,"The Last Temptation of Homer",59350,0.000141533277169334
"117",7.7,54,3,"Dog of Death",49665,0.000155038759689922
"118",8.2,42,3,"Treehouse of Horror II",103012,7.96023764221644e-05
"119",7.9,43,3,"Lisa's Pony",53093,0.000148795509765883
"120",7.8,66,4,"Marge Gets a Job",69527,0.000112186632531247
"121",8.2,47,3,"I Married Marge",47880,0.000171261487050961
"122",9,76,4,"Last Exit to Springfield",71907,0.000125161667153406
"123",8,49,3,"Lisa the Greek",49457,0.000161756677517844
"124",7.7,57,3,"The Otto Show",50068,0.000153790844451546
"125",8.9,85,5,"Rosebud",57149,0.000155733258674692
"126",8,50,3,"Homer Alone",58991,0.000135613907206184
"127",8.6,52,3,"Homer at the Bat",72378,0.000118820636104894
"128",8.1,79,4,"Whacking Day",60739,0.000133357480366815
"129",7.8,63,4,"Lisa the Beauty Queen",52203,0.000149416700189644
"130",8.2,81,4,"Krusty Gets Kancelled",59948,0.000136785213852005
"131",8.2,56,3,"Black Widower",57582,0.000142405612865131
"132",8.1,61,4,"A Streetcar Named Marge",54487,0.000148659313230679
"133",8.4,64,4,"Treehouse of Horror III",108171,7.765482430596e-05
"134",8.8,68,4,"Mr. Plow",63564,0.000138443143917941
"135",8.3,94,5,"Homer and Apu",58716,0.000141358403160978
"136",8.5,97,5,"Homer Loves Flanders",69996,0.000121435510600606
"137",8.4,99,5,"Burns' Heir",81678,0.000102842870785279
"138",8,137,7,"Sideshow Bob's Last Gleaming",61246,0.000130620775234301
"139",8,113,6,"Grampa vs. Sexual Inadequacy",64719,0.000123611304253774
"140",8.2,147,7,"A Fish Called Selma",57830,0.000141794916133495
"141",8.6,117,6,"Bart's Comet",67619,0.000127183188157175
"142",8.3,131,7,"Home Sweet Homediddly-Dum-Doodily",70120,0.000118368511123788
"143",7.7,142,7,"Scenes from the Class Struggle in Springfield",58572,0.00013146213207676
"144",8.5,119,6,"Bart vs. Australia",80724,0.000105297061592587
"145",9,135,7,"King-Size Homer",81426,0.000110529806204406
"146",8,103,5,"Secrets of a Successful Marriage",67959,0.000117718035874571
"147",8.1,105,6,"Lisa's Rival",54225,0.000149377593360996
"148",8.5,121,6,"A Star Is Burns",71936,0.000118160587188612
"149",8.3,122,6,"Lisa's Wedding",74266,0.000111760428729163
"150",6,106,6,"Another Simpsons Clip Show",42576,0.000140924464487035
"151",8.5,133,7,"Lisa the Vegetarian",69245,0.000122752545310131
"152",8.1,124,6,"The PTA Disbands",74788,0.000108306145370915
"153",8.3,108,6,"Sideshow Bob Roberts",76932,0.000107887485051734
"154",8,110,6,"Bart's Girlfriend",62450,0.000128102481985588
"155",8.9,129,7,"Who Shot Mr. Burns? (Part Two)",67579,0.000131697716746327
"156",8.2,126,6,"The Springfield Connection",79777,0.000102786517417301
"157",8.9,145,7,"Homer the Smithers",68354,0.000130204523509963
"158",9,112,6,"Homer Badman",71577,0.000125738714950333
"159",8.9,115,6,"Homer the Great",71002,0.000125348581730092
"160",7.5,138,7,"The Simpsons 138th Episode Spectacular",56153,0.000133563656438659
"161",8.7,141,7,"Two Bad Neighbors",64224,0.000135463378176383
"162",8.1,144,7,"Lisa the Iconoclast",58795,0.0001377668169062
"163",8.5,136,7,"Mother Simpson",61085,0.000139150364246542
"164",8.3,150,7,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",69120,0.000120081018518519
"165",8,152,7,"Homerpalooza",60569,0.000132080767389259
"166",8.1,181,9,"Lisa's Sax",20008,0.00040483806477409
"167",7.7,166,8,"Simpsoncalifragilisticexpiala(Annoyed Grunt)cious",57608,0.000133661991390085
"168",8.3,154,8,"Treehouse of Horror VII",102077,8.13111670601605e-05
"169",8.2,169,8,"Brother from Another Series",56659,0.000144725462856739
"170",8,156,8,"The Homer They Fall",61146,0.000130834396362804
"171",8.2,158,8,"Bart After Dark",60210,0.000136190001660854
"172",7.7,202,9,"Lost Our Lisa",55316,0.000139200231397787
"173",7.9,199,9,"Girly Edition",21811,0.000362202558342121
"174",7.5,187,9,"Realty Bites",25183,0.000297819957908113
"175",7.9,174,8,"The Old Man and the Lisa",56833,0.000139003747822568
"176",8,159,8,"A Milhouse Divided",60956,0.00013124220749393
"177",8.1,170,8,"My Sister, My Sitter",54247,0.000149317012922374
"178",7.5,193,9,"The Last Temptation of Krust",20298,0.000369494531480934
"179",8.2,183,9,"The Cartridge Family",30921,0.00026519194075224
"180",8.2,172,8,"Grade School Confidential",60584,0.000135349267133236
"181",8.8,161,8,"Hurricane Neddy",66281,0.000132768063245877
"182",8.3,197,9,"Simpson Tide",23127,0.000358887879967138
"183",7.3,177,8,"The Simpsons Spin-Off Showcase",57926,0.000126022856748265
"184",9.1,179,9,"The City of New York vs. Homer Simpson",62962,0.00014453162224834
"185",7.6,188,9,"Miracle on Evergreen Terrace",19899,0.000381928740137695
"186",8.3,201,9,"King of the Hill",60952,0.000136172726079538
"187",8.1,192,9,"Das Bus",32487,0.000249330501431342
"188",7.6,204,10,"Lard of the Dance",56018,0.000135670677282302
"189",7.7,190,9,"Bart Carny",22426,0.000343351467047177
"190",8,195,9,"Lisa the Simpson",21608,0.000370233246945576
"191",8,146,7,"The Day the Violence Died",57809,0.000138386756387414
"192",7.3,208,10,"When You Dish Upon a Star",43485,0.000167873979533172
"193",8,210,10,"Lisa Gets an ""A""",50013,0.000159958410813189
"194",7.3,211,10,"Homer Simpson in: ""Kidney Trouble""",50300,0.000145129224652087
"195",6.9,215,10,"Sunday, Cruddy Sunday",50051,0.000137859383428903
"196",7.6,220,10,"Maximum Homerdrive",54195,0.000140234338961159
"197",7.3,221,10,"Simpsons Bible Stories",47155,0.00015480860990351
"198",7.8,213,10,"Viva Ned Flanders",56561,0.000137904209614399
"199",7.3,223,10,"The Old Man and the ""C"" Student",47550,0.000153522607781283
"200",7.3,225,10,"They Saved Lisa's Brain",47951,0.000152238743717545
"201",7.7,216,10,"Homer to the Max",55726,0.000138176075799447
"202",8.6,148,7,"Bart on the Road",70913,0.00012127536558882
"203",8.6,165,8,"Mountain of Madness",60763,0.000141533499004328
"204",7.6,194,9,"Dumbbell Indemnity",21214,0.000358253983218629
"205",7.5,206,10,"Bart the Mother",43240,0.000173450508788159
"206",7.3,217,10,"I'm with Cupid",46822,0.000155909615138183
"207",7.3,218,10,"Marge Simpson in: ""Screaming Yellow Honkers""",52778,0.000138315207093865
"208",8,31,2,"Brush with Greatness",58561,0.000136609689042195
"209",8.8,45,3,"Flaming Moe's",58968,0.000149233482566816
"210",8.1,5,1,"Bart the General",63129,0.000128308701230813
"211",8.2,59,3,"Brother, Can You Spare Two Dimes?",50936,0.000160986335793937
"212",9,62,4,"Homer the Heretic",64605,0.000139308103087996
"213",9,83,5,"Cape Feare",65585,0.000137226499961882
"214",7.7,88,5,"Bart's Inner Child",74139,0.000103858967614886
"215",8.8,96,5,"Deep Space Homer",75439,0.000116650538845955
"216",8.4,100,5,"Sweet Seymour Skinner's Baadasssss Song",66406,0.000126494593862
"217",8.2,101,5,"The Boy Who Knew Too Much",74427,0.000110175070874817
"218",9,109,6,"Treehouse of Horror V",119295,7.54432289701999e-05
"219",9.1,128,6,"Who Shot Mr. Burns? (Part One)",86070,0.000105727895898687
"220",9.2,155,8,"You Only Move Twice",79609,0.000115564823072768
"221",8.5,162,8,"El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)",64743,0.000131288324606521
"222",9.2,176,8,"Homer's Enemy",74177,0.000124027663561481
"223",8.1,182,9,"Treehouse of Horror VIII",30963,0.000261602557891677
"224",7.7,185,9,"The Two Mrs. Nahasapeemapetilons",19419,0.000396518873268448
"225",7.6,209,10,"D'oh-in' in the Wind",45779,0.000166014985036807
"226",7.5,3,1,"Homer's Odyssey",78072,9.6065170611743e-05
